nohup: ignoring input
Importing module 'gym_38' (/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.3.1
Device count 3
/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/wutr/.cache/torch_extensions/py38_cu121 as PyTorch extensions root...
Emitting ninja build file /home/wutr/.cache/torch_extensions/py38_cu121/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Setting seed: 1
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:1
GPU Pipeline: enabled
Actor MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=12, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
Loading low-level policy checkpoint: /home/wutr/IsaacGym/legged_gym_go2/logs/rough_go2/Sep08_11-57-26_/model_18500.pt
Actor MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=3, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=1, bias=True)
)
Reach-Avoid training
  envs       : 4096
  obs dim    : 24
  action dim : 3
  horizon    : 200
  device     : cuda:1
  log dir    : logs/high_level_go2/20251125-074525
iter 00001 | success 0.016 | policy_loss 0.01460 | value_loss 9177.16162 | Vmean -0.017 | Rmean 61.530 | Vrmse 135.566 | VexpVar -0.000 | adv_std 120.790 | elapsed 29.79s
iter 00351 | success 0.608 | policy_loss -0.00009 | value_loss 2232.73750 | Vmean -220.401 | Rmean -217.146 | Vrmse 65.615 | VexpVar 0.806 | adv_std 65.534 | elapsed 35.88s
iter 00352 | success 0.629 | policy_loss -0.00008 | value_loss 2041.40387 | Vmean -218.406 | Rmean -219.549 | Vrmse 62.586 | VexpVar 0.814 | adv_std 62.575 | elapsed 33.57s
iter 00353 | success 0.629 | policy_loss -0.00010 | value_loss 2089.68610 | Vmean -217.226 | Rmean -218.734 | Vrmse 63.451 | VexpVar 0.810 | adv_std 63.433 | elapsed 32.63s
iter 00354 | success 0.628 | policy_loss -0.00007 | value_loss 2068.29916 | Vmean -217.123 | Rmean -218.885 | Vrmse 63.112 | VexpVar 0.811 | adv_std 63.088 | elapsed 32.42s
iter 00355 | success 0.625 | policy_loss 0.00004 | value_loss 2032.53596 | Vmean -216.273 | Rmean -218.974 | Vrmse 62.572 | VexpVar 0.812 | adv_std 62.514 | elapsed 33.16s
iter 00356 | success 0.627 | policy_loss -0.00004 | value_loss 2060.39892 | Vmean -217.286 | Rmean -218.762 | Vrmse 63.022 | VexpVar 0.811 | adv_std 63.005 | elapsed 29.27s
iter 00357 | success 0.617 | policy_loss -0.00014 | value_loss 2133.78207 | Vmean -215.625 | Rmean -217.113 | Vrmse 64.169 | VexpVar 0.808 | adv_std 64.152 | elapsed 33.09s
iter 00358 | success 0.618 | policy_loss -0.00015 | value_loss 2078.75130 | Vmean -216.692 | Rmean -218.683 | Vrmse 63.332 | VexpVar 0.810 | adv_std 63.301 | elapsed 30.53s
iter 00359 | success 0.618 | policy_loss -0.00007 | value_loss 2088.19567 | Vmean -216.065 | Rmean -218.392 | Vrmse 63.525 | VexpVar 0.808 | adv_std 63.482 | elapsed 29.07s
iter 00360 | success 0.617 | policy_loss -0.00011 | value_loss 2083.49664 | Vmean -215.364 | Rmean -218.243 | Vrmse 63.440 | VexpVar 0.808 | adv_std 63.374 | elapsed 29.74s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_360.pt
iter 00361 | success 0.615 | policy_loss -0.00011 | value_loss 2050.56319 | Vmean -216.896 | Rmean -218.647 | Vrmse 62.881 | VexpVar 0.810 | adv_std 62.857 | elapsed 32.71s
iter 00362 | success 0.625 | policy_loss -0.00014 | value_loss 2041.54901 | Vmean -217.443 | Rmean -219.661 | Vrmse 62.804 | VexpVar 0.807 | adv_std 62.765 | elapsed 32.19s
iter 00363 | success 0.630 | policy_loss -0.00011 | value_loss 2061.54016 | Vmean -217.399 | Rmean -219.675 | Vrmse 63.165 | VexpVar 0.806 | adv_std 63.124 | elapsed 30.92s
iter 00364 | success 0.609 | policy_loss -0.00008 | value_loss 2134.34625 | Vmean -215.101 | Rmean -218.194 | Vrmse 64.236 | VexpVar 0.802 | adv_std 64.162 | elapsed 29.62s
iter 00365 | success 0.627 | policy_loss -0.00012 | value_loss 2042.07777 | Vmean -216.738 | Rmean -219.994 | Vrmse 63.027 | VexpVar 0.801 | adv_std 62.942 | elapsed 31.20s
iter 00366 | success 0.631 | policy_loss -0.00008 | value_loss 1984.54855 | Vmean -225.046 | Rmean -222.239 | Vrmse 61.968 | VexpVar 0.806 | adv_std 61.904 | elapsed 29.81s
iter 00367 | success 0.622 | policy_loss -0.00012 | value_loss 2053.19955 | Vmean -222.049 | Rmean -220.566 | Vrmse 63.193 | VexpVar 0.804 | adv_std 63.175 | elapsed 35.12s
iter 00368 | success 0.620 | policy_loss -0.00006 | value_loss 2019.65947 | Vmean -222.945 | Rmean -220.552 | Vrmse 62.600 | VexpVar 0.807 | adv_std 62.554 | elapsed 35.65s
iter 00369 | success 0.620 | policy_loss -0.00009 | value_loss 1982.79183 | Vmean -219.681 | Rmean -220.069 | Vrmse 62.383 | VexpVar 0.809 | adv_std 62.382 | elapsed 38.39s
iter 00370 | success 0.630 | policy_loss -0.00005 | value_loss 1933.15394 | Vmean -219.895 | Rmean -220.225 | Vrmse 61.460 | VexpVar 0.814 | adv_std 61.459 | elapsed 37.28s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_370.pt
iter 00371 | success 0.635 | policy_loss -0.00009 | value_loss 1924.93124 | Vmean -220.098 | Rmean -220.246 | Vrmse 61.602 | VexpVar 0.811 | adv_std 61.602 | elapsed 37.29s
iter 00372 | success 0.621 | policy_loss -0.00008 | value_loss 2001.52795 | Vmean -221.493 | Rmean -220.495 | Vrmse 62.624 | VexpVar 0.806 | adv_std 62.616 | elapsed 33.21s
iter 00373 | success 0.630 | policy_loss -0.00007 | value_loss 1937.42681 | Vmean -220.496 | Rmean -220.641 | Vrmse 61.683 | VexpVar 0.811 | adv_std 61.682 | elapsed 33.00s
iter 00374 | success 0.619 | policy_loss -0.00006 | value_loss 1954.30842 | Vmean -219.992 | Rmean -220.191 | Vrmse 62.170 | VexpVar 0.811 | adv_std 62.170 | elapsed 32.12s
iter 00375 | success 0.624 | policy_loss 0.00005 | value_loss 1972.06326 | Vmean -222.278 | Rmean -220.438 | Vrmse 61.693 | VexpVar 0.814 | adv_std 61.666 | elapsed 34.83s
iter 00376 | success 0.624 | policy_loss 0.00216 | value_loss 1955.14403 | Vmean -218.371 | Rmean -219.320 | Vrmse 62.154 | VexpVar 0.814 | adv_std 62.147 | elapsed 32.71s
iter 00377 | success 0.615 | policy_loss 0.00045 | value_loss 1985.26713 | Vmean -217.030 | Rmean -219.003 | Vrmse 62.697 | VexpVar 0.811 | adv_std 62.666 | elapsed 35.41s
iter 00378 | success 0.618 | policy_loss -0.00008 | value_loss 1997.66797 | Vmean -218.018 | Rmean -219.588 | Vrmse 62.203 | VexpVar 0.814 | adv_std 62.183 | elapsed 35.74s
iter 00379 | success 0.618 | policy_loss 0.00246 | value_loss 1959.50622 | Vmean -214.167 | Rmean -217.109 | Vrmse 62.197 | VexpVar 0.820 | adv_std 62.127 | elapsed 35.22s
iter 00380 | success 0.629 | policy_loss 0.01050 | value_loss 1879.15299 | Vmean -215.048 | Rmean -219.414 | Vrmse 60.662 | VexpVar 0.822 | adv_std 60.505 | elapsed 34.45s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_380.pt
iter 00381 | success 0.624 | policy_loss 0.01031 | value_loss 1868.81238 | Vmean -214.713 | Rmean -219.269 | Vrmse 60.663 | VexpVar 0.823 | adv_std 60.492 | elapsed 35.01s
iter 00382 | success 0.637 | policy_loss 0.00485 | value_loss 1821.62948 | Vmean -216.242 | Rmean -220.784 | Vrmse 59.780 | VexpVar 0.824 | adv_std 59.607 | elapsed 32.54s
iter 00383 | success 0.619 | policy_loss -0.00012 | value_loss 1942.73349 | Vmean -215.460 | Rmean -218.838 | Vrmse 61.465 | VexpVar 0.820 | adv_std 61.372 | elapsed 36.11s
iter 00384 | success 0.630 | policy_loss -0.00013 | value_loss 1862.40485 | Vmean -218.942 | Rmean -220.981 | Vrmse 60.408 | VexpVar 0.821 | adv_std 60.374 | elapsed 34.00s
iter 00385 | success 0.617 | policy_loss -0.00007 | value_loss 1949.38523 | Vmean -219.548 | Rmean -219.496 | Vrmse 61.825 | VexpVar 0.818 | adv_std 61.825 | elapsed 30.35s
iter 00386 | success 0.627 | policy_loss -0.00012 | value_loss 1902.55790 | Vmean -217.624 | Rmean -220.586 | Vrmse 61.020 | VexpVar 0.818 | adv_std 60.948 | elapsed 31.53s
iter 00387 | success 0.608 | policy_loss -0.00015 | value_loss 1962.75040 | Vmean -221.754 | Rmean -220.889 | Vrmse 62.207 | VexpVar 0.813 | adv_std 62.201 | elapsed 32.04s
iter 00388 | success 0.629 | policy_loss -0.00011 | value_loss 1885.67366 | Vmean -222.089 | Rmean -222.144 | Vrmse 60.874 | VexpVar 0.814 | adv_std 60.874 | elapsed 31.76s
iter 00389 | success 0.622 | policy_loss -0.00012 | value_loss 1952.35134 | Vmean -224.923 | Rmean -222.410 | Vrmse 61.867 | VexpVar 0.812 | adv_std 61.816 | elapsed 32.83s
iter 00390 | success 0.625 | policy_loss -0.00013 | value_loss 1924.15728 | Vmean -224.273 | Rmean -222.283 | Vrmse 61.630 | VexpVar 0.813 | adv_std 61.598 | elapsed 30.03s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_390.pt
iter 00391 | success 0.615 | policy_loss -0.00005 | value_loss 1938.32947 | Vmean -222.584 | Rmean -221.109 | Vrmse 61.602 | VexpVar 0.817 | adv_std 61.584 | elapsed 33.92s
iter 00392 | success 0.623 | policy_loss -0.00010 | value_loss 1923.75281 | Vmean -223.650 | Rmean -221.782 | Vrmse 61.532 | VexpVar 0.817 | adv_std 61.503 | elapsed 32.22s
iter 00393 | success 0.626 | policy_loss -0.00008 | value_loss 1906.35645 | Vmean -224.270 | Rmean -222.236 | Vrmse 61.396 | VexpVar 0.816 | adv_std 61.363 | elapsed 28.82s
iter 00394 | success 0.632 | policy_loss -0.00008 | value_loss 1887.57063 | Vmean -224.139 | Rmean -222.603 | Vrmse 61.043 | VexpVar 0.818 | adv_std 61.024 | elapsed 30.23s
iter 00395 | success 0.614 | policy_loss -0.00007 | value_loss 1990.37536 | Vmean -221.416 | Rmean -220.928 | Vrmse 62.467 | VexpVar 0.812 | adv_std 62.465 | elapsed 28.67s
iter 00396 | success 0.629 | policy_loss -0.00008 | value_loss 1910.09567 | Vmean -220.829 | Rmean -221.539 | Vrmse 61.153 | VexpVar 0.817 | adv_std 61.149 | elapsed 33.13s
iter 00397 | success 0.625 | policy_loss -0.00008 | value_loss 1898.89680 | Vmean -219.656 | Rmean -221.744 | Vrmse 61.139 | VexpVar 0.817 | adv_std 61.103 | elapsed 32.92s
iter 00398 | success 0.623 | policy_loss -0.00010 | value_loss 1910.09013 | Vmean -221.779 | Rmean -221.874 | Vrmse 61.004 | VexpVar 0.820 | adv_std 61.004 | elapsed 36.31s
iter 00399 | success 0.621 | policy_loss -0.00003 | value_loss 1927.07642 | Vmean -222.543 | Rmean -221.650 | Vrmse 61.353 | VexpVar 0.818 | adv_std 61.346 | elapsed 34.34s
iter 00400 | success 0.628 | policy_loss -0.00010 | value_loss 1954.04237 | Vmean -227.663 | Rmean -224.444 | Vrmse 61.482 | VexpVar 0.812 | adv_std 61.398 | elapsed 36.31s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_400.pt
iter 00401 | success 0.613 | policy_loss -0.00017 | value_loss 1984.15668 | Vmean -227.444 | Rmean -224.108 | Vrmse 62.520 | VexpVar 0.807 | adv_std 62.431 | elapsed 37.94s
iter 00402 | success 0.633 | policy_loss -0.00010 | value_loss 1948.62176 | Vmean -229.635 | Rmean -225.703 | Vrmse 61.771 | VexpVar 0.805 | adv_std 61.646 | elapsed 35.55s
iter 00403 | success 0.621 | policy_loss -0.00013 | value_loss 2023.80917 | Vmean -227.047 | Rmean -223.344 | Vrmse 62.472 | VexpVar 0.809 | adv_std 62.363 | elapsed 33.33s
iter 00404 | success 0.625 | policy_loss -0.00008 | value_loss 1939.77917 | Vmean -224.687 | Rmean -222.781 | Vrmse 61.499 | VexpVar 0.814 | adv_std 61.469 | elapsed 33.87s
iter 00405 | success 0.626 | policy_loss -0.00007 | value_loss 1953.97318 | Vmean -226.560 | Rmean -223.164 | Vrmse 62.110 | VexpVar 0.813 | adv_std 62.017 | elapsed 34.12s
iter 00406 | success 0.627 | policy_loss -0.00012 | value_loss 1924.90165 | Vmean -227.854 | Rmean -224.947 | Vrmse 61.615 | VexpVar 0.809 | adv_std 61.546 | elapsed 35.38s
iter 00407 | success 0.635 | policy_loss -0.00009 | value_loss 1952.03358 | Vmean -227.706 | Rmean -224.279 | Vrmse 61.423 | VexpVar 0.814 | adv_std 61.327 | elapsed 35.85s
iter 00408 | success 0.634 | policy_loss -0.00011 | value_loss 1868.24259 | Vmean -227.685 | Rmean -224.911 | Vrmse 60.741 | VexpVar 0.815 | adv_std 60.677 | elapsed 31.17s
iter 00409 | success 0.626 | policy_loss -0.00005 | value_loss 1940.17026 | Vmean -228.287 | Rmean -224.602 | Vrmse 61.538 | VexpVar 0.812 | adv_std 61.428 | elapsed 31.90s
iter 00410 | success 0.635 | policy_loss -0.00009 | value_loss 1976.70276 | Vmean -228.823 | Rmean -224.905 | Vrmse 62.173 | VexpVar 0.806 | adv_std 62.050 | elapsed 34.65s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_410.pt
iter 00411 | success 0.622 | policy_loss 0.00002 | value_loss 1900.29926 | Vmean -226.544 | Rmean -224.763 | Vrmse 61.216 | VexpVar 0.810 | adv_std 61.190 | elapsed 37.16s
iter 00412 | success 0.628 | policy_loss -0.00005 | value_loss 1940.13116 | Vmean -227.367 | Rmean -224.775 | Vrmse 61.306 | VexpVar 0.810 | adv_std 61.251 | elapsed 36.57s
iter 00413 | success 0.629 | policy_loss -0.00004 | value_loss 1931.44175 | Vmean -226.820 | Rmean -224.304 | Vrmse 61.638 | VexpVar 0.810 | adv_std 61.586 | elapsed 30.18s
iter 00414 | success 0.626 | policy_loss -0.00009 | value_loss 1924.66286 | Vmean -227.068 | Rmean -224.013 | Vrmse 61.540 | VexpVar 0.812 | adv_std 61.464 | elapsed 31.08s
iter 00415 | success 0.646 | policy_loss -0.00006 | value_loss 1848.21393 | Vmean -228.002 | Rmean -225.044 | Vrmse 60.352 | VexpVar 0.814 | adv_std 60.280 | elapsed 29.65s
iter 00416 | success 0.614 | policy_loss -0.00021 | value_loss 1989.34743 | Vmean -228.844 | Rmean -224.501 | Vrmse 62.411 | VexpVar 0.809 | adv_std 62.260 | elapsed 33.04s
iter 00417 | success 0.631 | policy_loss -0.00006 | value_loss 1904.47134 | Vmean -226.062 | Rmean -224.329 | Vrmse 60.886 | VexpVar 0.813 | adv_std 60.861 | elapsed 32.69s
iter 00418 | success 0.626 | policy_loss -0.00011 | value_loss 1965.13188 | Vmean -225.805 | Rmean -222.990 | Vrmse 61.495 | VexpVar 0.814 | adv_std 61.431 | elapsed 31.74s
iter 00419 | success 0.625 | policy_loss -0.00003 | value_loss 1859.82399 | Vmean -222.786 | Rmean -223.463 | Vrmse 60.637 | VexpVar 0.815 | adv_std 60.633 | elapsed 33.53s
iter 00420 | success 0.627 | policy_loss -0.00003 | value_loss 1884.42297 | Vmean -223.717 | Rmean -222.947 | Vrmse 61.023 | VexpVar 0.816 | adv_std 61.018 | elapsed 36.67s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_420.pt
iter 00421 | success 0.638 | policy_loss 0.00003 | value_loss 1855.93382 | Vmean -221.475 | Rmean -222.463 | Vrmse 60.385 | VexpVar 0.820 | adv_std 60.376 | elapsed 37.64s
iter 00422 | success 0.627 | policy_loss -0.00010 | value_loss 1851.23886 | Vmean -222.628 | Rmean -222.543 | Vrmse 60.371 | VexpVar 0.819 | adv_std 60.371 | elapsed 33.62s
iter 00423 | success 0.615 | policy_loss -0.00005 | value_loss 1958.72066 | Vmean -224.991 | Rmean -222.628 | Vrmse 61.733 | VexpVar 0.813 | adv_std 61.687 | elapsed 32.10s
iter 00424 | success 0.630 | policy_loss -0.00012 | value_loss 1882.25154 | Vmean -225.453 | Rmean -223.287 | Vrmse 60.723 | VexpVar 0.818 | adv_std 60.685 | elapsed 35.49s
iter 00425 | success 0.647 | policy_loss -0.00012 | value_loss 1766.50133 | Vmean -224.074 | Rmean -224.258 | Vrmse 59.031 | VexpVar 0.821 | adv_std 59.030 | elapsed 34.00s
iter 00426 | success 0.624 | policy_loss -0.00012 | value_loss 1844.91216 | Vmean -220.850 | Rmean -222.066 | Vrmse 59.937 | VexpVar 0.822 | adv_std 59.925 | elapsed 35.23s
iter 00427 | success 0.631 | policy_loss -0.00009 | value_loss 1843.41302 | Vmean -225.858 | Rmean -224.142 | Vrmse 60.345 | VexpVar 0.816 | adv_std 60.320 | elapsed 34.76s
iter 00428 | success 0.621 | policy_loss -0.00004 | value_loss 1889.27147 | Vmean -223.524 | Rmean -222.578 | Vrmse 60.084 | VexpVar 0.822 | adv_std 60.076 | elapsed 37.02s
iter 00429 | success 0.632 | policy_loss -0.00007 | value_loss 1886.90604 | Vmean -220.957 | Rmean -222.288 | Vrmse 60.157 | VexpVar 0.821 | adv_std 60.142 | elapsed 32.25s
iter 00430 | success 0.646 | policy_loss -0.00009 | value_loss 1793.62827 | Vmean -220.629 | Rmean -222.737 | Vrmse 58.632 | VexpVar 0.825 | adv_std 58.594 | elapsed 32.11s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_430.pt
iter 00431 | success 0.625 | policy_loss -0.00014 | value_loss 1892.20537 | Vmean -218.899 | Rmean -220.549 | Vrmse 60.363 | VexpVar 0.824 | adv_std 60.340 | elapsed 36.71s
iter 00432 | success 0.626 | policy_loss -0.00010 | value_loss 1810.07071 | Vmean -217.182 | Rmean -220.251 | Vrmse 59.670 | VexpVar 0.828 | adv_std 59.591 | elapsed 33.80s
iter 00433 | success 0.636 | policy_loss -0.00010 | value_loss 1707.18073 | Vmean -217.746 | Rmean -221.220 | Vrmse 57.947 | VexpVar 0.835 | adv_std 57.843 | elapsed 31.46s
iter 00434 | success 0.629 | policy_loss -0.00009 | value_loss 1727.23815 | Vmean -218.097 | Rmean -220.235 | Vrmse 58.269 | VexpVar 0.836 | adv_std 58.230 | elapsed 32.22s
iter 00435 | success 0.629 | policy_loss -0.00006 | value_loss 1710.75301 | Vmean -219.317 | Rmean -220.289 | Vrmse 57.970 | VexpVar 0.835 | adv_std 57.962 | elapsed 34.60s
iter 00436 | success 0.624 | policy_loss -0.00010 | value_loss 1738.30530 | Vmean -220.171 | Rmean -219.999 | Vrmse 58.500 | VexpVar 0.834 | adv_std 58.500 | elapsed 34.68s
iter 00437 | success 0.621 | policy_loss -0.00006 | value_loss 1749.40472 | Vmean -217.167 | Rmean -219.414 | Vrmse 58.588 | VexpVar 0.835 | adv_std 58.545 | elapsed 37.26s
iter 00438 | success 0.635 | policy_loss -0.00008 | value_loss 1724.15106 | Vmean -217.271 | Rmean -220.137 | Vrmse 58.225 | VexpVar 0.834 | adv_std 58.155 | elapsed 36.32s
iter 00439 | success 0.639 | policy_loss -0.00007 | value_loss 1717.20679 | Vmean -221.820 | Rmean -220.895 | Vrmse 58.081 | VexpVar 0.835 | adv_std 58.073 | elapsed 37.99s
iter 00440 | success 0.628 | policy_loss 0.00116 | value_loss 1729.54034 | Vmean -220.662 | Rmean -220.617 | Vrmse 58.199 | VexpVar 0.837 | adv_std 58.199 | elapsed 34.16s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_440.pt
iter 00441 | success 0.645 | policy_loss -0.00010 | value_loss 1647.09697 | Vmean -220.299 | Rmean -221.576 | Vrmse 56.934 | VexpVar 0.839 | adv_std 56.919 | elapsed 38.06s
iter 00442 | success 0.628 | policy_loss -0.00018 | value_loss 1769.96152 | Vmean -218.113 | Rmean -218.967 | Vrmse 58.791 | VexpVar 0.835 | adv_std 58.785 | elapsed 32.41s
iter 00443 | success 0.648 | policy_loss -0.00018 | value_loss 1681.42089 | Vmean -220.766 | Rmean -222.246 | Vrmse 57.382 | VexpVar 0.834 | adv_std 57.363 | elapsed 33.12s
iter 00444 | success 0.621 | policy_loss -0.00007 | value_loss 1704.92078 | Vmean -217.111 | Rmean -220.695 | Vrmse 58.011 | VexpVar 0.834 | adv_std 57.901 | elapsed 33.83s
iter 00445 | success 0.631 | policy_loss -0.00007 | value_loss 1736.24020 | Vmean -218.893 | Rmean -220.735 | Vrmse 58.093 | VexpVar 0.835 | adv_std 58.064 | elapsed 33.54s
iter 00446 | success 0.644 | policy_loss -0.00017 | value_loss 1654.46723 | Vmean -221.327 | Rmean -221.556 | Vrmse 57.027 | VexpVar 0.839 | adv_std 57.026 | elapsed 33.30s
iter 00447 | success 0.637 | policy_loss -0.00019 | value_loss 1680.63000 | Vmean -222.312 | Rmean -221.876 | Vrmse 57.231 | VexpVar 0.838 | adv_std 57.229 | elapsed 33.19s
iter 00448 | success 0.636 | policy_loss -0.00014 | value_loss 1725.01238 | Vmean -222.295 | Rmean -221.855 | Vrmse 58.097 | VexpVar 0.834 | adv_std 58.095 | elapsed 31.98s
iter 00449 | success 0.629 | policy_loss 0.00027 | value_loss 1737.09509 | Vmean -219.724 | Rmean -221.188 | Vrmse 58.327 | VexpVar 0.833 | adv_std 58.309 | elapsed 35.09s
iter 00450 | success 0.635 | policy_loss 0.00000 | value_loss 1731.31753 | Vmean -221.977 | Rmean -222.429 | Vrmse 58.377 | VexpVar 0.831 | adv_std 58.375 | elapsed 34.50s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_450.pt
iter 00451 | success 0.618 | policy_loss 0.00003 | value_loss 1780.14460 | Vmean -222.105 | Rmean -221.615 | Vrmse 58.991 | VexpVar 0.832 | adv_std 58.989 | elapsed 37.02s
iter 00452 | success 0.631 | policy_loss -0.00014 | value_loss 1716.66055 | Vmean -221.879 | Rmean -222.240 | Vrmse 57.737 | VexpVar 0.836 | adv_std 57.736 | elapsed 35.71s
iter 00453 | success 0.639 | policy_loss 0.00409 | value_loss 1686.18296 | Vmean -223.412 | Rmean -223.095 | Vrmse 57.671 | VexpVar 0.833 | adv_std 57.670 | elapsed 36.24s
iter 00454 | success 0.627 | policy_loss 0.00556 | value_loss 1751.17434 | Vmean -223.166 | Rmean -221.920 | Vrmse 58.687 | VexpVar 0.832 | adv_std 58.674 | elapsed 36.15s
iter 00455 | success 0.632 | policy_loss 0.00345 | value_loss 1768.53968 | Vmean -224.429 | Rmean -222.311 | Vrmse 58.961 | VexpVar 0.830 | adv_std 58.923 | elapsed 34.88s
iter 00456 | success 0.624 | policy_loss 0.00165 | value_loss 1810.98509 | Vmean -224.429 | Rmean -222.229 | Vrmse 59.431 | VexpVar 0.828 | adv_std 59.390 | elapsed 35.80s
iter 00457 | success 0.623 | policy_loss 0.00859 | value_loss 1770.70861 | Vmean -223.449 | Rmean -222.697 | Vrmse 58.632 | VexpVar 0.832 | adv_std 58.628 | elapsed 35.46s
iter 00458 | success 0.611 | policy_loss 0.00697 | value_loss 1853.29453 | Vmean -224.804 | Rmean -221.842 | Vrmse 60.278 | VexpVar 0.827 | adv_std 60.205 | elapsed 35.98s
iter 00459 | success 0.614 | policy_loss 0.00028 | value_loss 1824.66676 | Vmean -225.267 | Rmean -222.562 | Vrmse 59.854 | VexpVar 0.827 | adv_std 59.793 | elapsed 35.87s
iter 00460 | success 0.615 | policy_loss -0.00013 | value_loss 1801.03138 | Vmean -223.847 | Rmean -221.673 | Vrmse 59.258 | VexpVar 0.832 | adv_std 59.218 | elapsed 35.99s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_460.pt
iter 00461 | success 0.633 | policy_loss 0.00146 | value_loss 1765.50343 | Vmean -225.363 | Rmean -223.023 | Vrmse 58.137 | VexpVar 0.834 | adv_std 58.090 | elapsed 37.93s
iter 00462 | success 0.632 | policy_loss 0.00041 | value_loss 1684.57434 | Vmean -225.196 | Rmean -223.716 | Vrmse 57.538 | VexpVar 0.834 | adv_std 57.519 | elapsed 35.62s
iter 00463 | success 0.637 | policy_loss -0.00000 | value_loss 1725.81787 | Vmean -223.424 | Rmean -223.212 | Vrmse 58.114 | VexpVar 0.833 | adv_std 58.113 | elapsed 36.18s
iter 00464 | success 0.632 | policy_loss -0.00015 | value_loss 1719.97200 | Vmean -222.801 | Rmean -222.834 | Vrmse 57.979 | VexpVar 0.833 | adv_std 57.979 | elapsed 34.95s
iter 00465 | success 0.634 | policy_loss -0.00003 | value_loss 1736.56973 | Vmean -221.134 | Rmean -221.286 | Vrmse 57.844 | VexpVar 0.838 | adv_std 57.844 | elapsed 34.53s
iter 00466 | success 0.625 | policy_loss -0.00000 | value_loss 1717.41120 | Vmean -224.584 | Rmean -223.076 | Vrmse 58.013 | VexpVar 0.835 | adv_std 57.993 | elapsed 35.63s
iter 00467 | success 0.624 | policy_loss 0.00001 | value_loss 1731.11787 | Vmean -221.875 | Rmean -222.306 | Vrmse 57.962 | VexpVar 0.836 | adv_std 57.961 | elapsed 35.98s
iter 00468 | success 0.630 | policy_loss -0.00009 | value_loss 1652.53423 | Vmean -222.903 | Rmean -222.511 | Vrmse 57.054 | VexpVar 0.840 | adv_std 57.052 | elapsed 35.95s
iter 00469 | success 0.625 | policy_loss -0.00002 | value_loss 1698.23794 | Vmean -223.945 | Rmean -222.238 | Vrmse 57.871 | VexpVar 0.839 | adv_std 57.846 | elapsed 33.66s
iter 00470 | success 0.614 | policy_loss -0.00013 | value_loss 1741.35229 | Vmean -222.931 | Rmean -221.730 | Vrmse 58.383 | VexpVar 0.837 | adv_std 58.371 | elapsed 34.15s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_470.pt
iter 00471 | success 0.642 | policy_loss -0.00012 | value_loss 1658.01012 | Vmean -222.871 | Rmean -223.600 | Vrmse 56.617 | VexpVar 0.841 | adv_std 56.612 | elapsed 39.53s
